DATE,EMM_EPM0_PTE_NUS_DPG,EMM_EPM0U_PTE_NUS_DPG,EMM_EPM0R_PTE_NUS_DPG,EMM_EPMR_PTE_NUS_DPG,EMM_EPMRU_PTE_NUS_DPG,EMM_EPMRR_PTE_NUS_DPG,EMM_EPMM_PTE_NUS_DPG,EMM_EPMMU_PTE_NUS_DPG,EMM_EPMMR_PTE_NUS_DPG,EMM_EPMP_PTE_NUS_DPG,EMM_EPMPU_PTE_NUS_DPG,EMM_EPMPR_PTE_NUS_DPG,EMD_EPD2D_PTE_NUS_DPG,EMD_EPD2DXL0_PTE_NUS_DPG,EMD_EPD2DM10_PTE_NUS_DPG
"Aug 20, 1990",,,,1.191,1.191,,,,,,,,,1,
"Aug 27, 1990",,,,1.245,1.245,,,,,,,,,,
"Sep 03, 1990",,,,1.242,1.242,,,,,,,,,,
"Sep 10, 1990",,,,1.252,1.252,,,,,,,,,,
"Sep 17, 1990",,,,1.266,1.266,,,,,,,,,,
"Sep 24, 1990",,,,1.272,1.272,,,,,,,,,,
"Oct 01, 1990",,,,1.321,1.321,,,,,,,,,,
"Oct 08, 1990",,,,1.333,1.333,,,,,,,,,,
"Oct 15, 1990",,,,1.339,1.339,,,,,,,,,,
"Oct 22, 1990",,,,1.345,1.345,,,,,,,,,,
"Oct 29, 1990",,,,1.339,1.339,,,,,,,,,,
"Nov 05, 1990",,,,1.334,1.334,,,,,,,,,,
"Nov 12, 1990",,,,1.328,1.328,,,,,,,,,,
"Nov 19, 1990",,,,1.323,1.323,,,,,,,,,,
"Nov 26, 1990",,,,1.311,1.311,,,,,,,,,,
"Dec 03, 1990",,,,1.341,1.341,,,,,,,,,,
"Dec 10, 1990",,,,,,,,,,,,,,,
"Dec 17, 1990",,,,,,,,,,,,,,,
"Dec 24, 1990",,,,,,,,,,,,,,,
"Dec 31, 1990",,,,,,,,,,,,,,,
"Jan 07, 1991",,,,,,,,,,,,,,,
"Jan 14, 1991",,,,,,,,,,,,,,,
"Jan 21, 1991",,,,1.192,1.192,,,,,,,,,,
"Jan 28, 1991",,,,1.168,1.168,,,,,,,,,,
"Feb 04, 1991",,,,1.139,1.139,,,,,,,,,,
"Feb 11, 1991",,,,1.106,1.106,,,,,,,,,,
"Feb 18, 1991",,,,1.078,1.078,,,,,,,,,,
"Feb 25, 1991",,,,1.054,1.054,,,,,,,,,,
"Mar 04, 1991",,,,1.025,1.025,,,,,,,,,,
"Mar 11, 1991",,,,1.045,1.045,,,,,,,,,,
"Mar 18, 1991",,,,1.043,1.043,,,,,,,,,,
"Mar 25, 1991",,,,1.047,1.047,,,,,,,,,,
"Apr 01, 1991",,,,1.052,1.052,,,,,,,,,,
"Apr 08, 1991",,,,1.066,1.066,,,,,,,,,,
"Apr 15, 1991",,,,1.069,1.069,,,,,,,,,,
"Apr 22, 1991",,,,1.09,1.09,,,,,,,,,,
"Apr 29, 1991",,,,1.104,1.104,,,,,,,,,,
"May 06, 1991",,,,1.113,1.113,,,,,,,,,,
"May 13, 1991",,,,1.121,1.121,,,,,,,,,,
"May 20, 1991",,,,1.129,1.129,,,,,,,,,,
"May 27, 1991",,,,1.14,1.14,,,,,,,,,,
"Jun 03, 1991",,,,1.138,1.138,,,,,,,,,,
